Industry Code,Industry Description,Size of Industry,Sale Losses,Percentage Loss,Sector
489,Other ambulatory health care services,829.4707666,-828.7105962,-78%,Education and Health Services
490,Hospitals,19000.1875,-18860.66243,-99%,Education and Health Services
491,Nursing and community care facilities,4353.413086,-3022.966119,-69%,Education and Health Services
492,"Residential mental retardation, mental health, substance abuse and other facilities",780.8547363,-673.053721,-86%,Education and Health Services
493,Individual and family services,4287.152832,-3375.522664,-79%,Education and Health Services
494,Child day care services,1441.072144,-1489.376616,-81%,Education and Health Services
495,"Community food, housing, and other relief services, including rehabilitation services",1414.571899,-1431.130733,-81%,Leisure and Hospitality
496,Performing arts companies,301.260649,-277.9357556,-92%,Leisure and Hospitality
497,Commercial Sports Except Racing,714.0192243,-429.1398313,-60%,Leisure and Hospitality
498,Racing and Track Operation,55.21125831,-53.99350118,-98%,Leisure and Hospitality
499,"Independent artists, writers, and performers",195.5017729,-85.86467598,-44%,Leisure and Hospitality
500,Promoters of performing arts and sports and agents for public figures,350.4349029,-299.8254245,-86%,Leisure and Hospitality
501,"Museums, historical sites, zoos, and parks",205.043457,-201.5540829,-98%,Leisure and Hospitality
502,Amusement parks and arcades,28.61622429,-24.2496041,-85%,Leisure and Hospitality
503,Gambling industries (except casino hotels),1744.38147,-1098.202865,-63%,Leisure and Hospitality
504,Other amusement and recreation industries,628.1707746,-591.9844909,-94%,Leisure and Hospitality
505,Fitness and recreational sports centers,487.4005421,-466.0165539,-96%,Leisure and Hospitality
506,Bowling centers,90.80091858,-82.21966433,-91%,Leisure and Hospitality
507,"Hotels and motels, including casino hotels",2817.765869,-111.1888084,-4%,Leisure and Hospitality
508,Other accommodations,724.1577148,-33.36155939,-5%,Leisure and Hospitality
509,Full-service restaurants,6112.969293,-5376.787039,-88%,Leisure and Hospitality
510,Limited-service restaurants,9456.610346,-8715.564239,-92%,Leisure and Hospitality
511,All other food and drinking places,4125.940922,-2847.096933,-69%,Leisure and Hospitality
512,"Automotive repair and maintenance, except car washes",3823.88379,-3247.156382,-85%,Leisure and Hospitality
513,Car washes,2420.068604,-2159.563955,-89%,Leisure and Hospitality
514,Electronic and precision equipment repair and maintenance,1519.940778,-413.5766797,-27%,Leisure and Hospitality
515,Commercial and industrial machinery and equipment repair and maintenance,1088.451782,-429.2311562,-39%,Leisure and Hospitality
516,Personal and household goods repair and maintenance,1154.672367,-534.80785,-46%,Leisure and Hospitality
517,Personal care services,1255.701782,-1191.952281,-95%,Leisure and Hospitality
518,Death care services,125.5387344,-102.6168446,-82%,Leisure and Hospitality
519,Dry-cleaning and laundry services,296.9054581,-208.1001096,-70%,Leisure and Hospitality
520,Other personal services,1323.355834,-1186.552374,-90%,Leisure and Hospitality
521,Religious organizations,3038.699951,-3065.062162,-78%,Other Services
522,"Grantmaking, giving, and social advocacy organizations",4215.790039,-3296.105484,-78%,Other Services
523,Business and professional associations,694.7747238,-595.3818284,-86%,Other Services
524,Labor and civic organizations,1956.420532,-1949.86595,-92%,Other Services
525,Private households,511.9876709,-502.7773379,-98%,Other Services
526,Postal service,1192.278072,-505.0987586,-42%,Government
527,Federal electric utilities,2356.084963,-1054.546424,-45%,Utilities
528,Other federal government enterprises,657.4802214,-293.1116538,-45%,Government
531,Other state government enterprises,970.130491,-400.2519829,-41%,Government
532,Local government passenger transit,1071.754148,-593.1374688,-55%,Government
533,Local government electric utilities,3939.532958,-1743.098843,-44%,Utilities
534,Other local government enterprises,13902.80076,-6106.552423,-44%,Government
